file,algorithm,partitions,ingress,rf,total_ingress,compute_imbalance,total_time,total_network
connected_component-128-plsync-hybrid,connected_component,128,hybrid,3.37463,40.44068,1.1584259073,8364.55,874910184120
connected_component-16-plsync-grid,connected_component,16,grid,2.8928,43.15006,1.02129702836,2373.58,259865248525
sssp_gather-128-plsyncec-metis,sssp_gather,128,metis,1.00075,64.9505,1.64530723525,5054.04,407488317327
pagerank-32-plsyncec-ldg,pagerank,32,ldg,1.84749,831.70738,1.05382936818,21.9558,13160168798
sssp_gather-128-plsyncec-ldg,sssp_gather,128,ldg,1.87704,2309.90425,1.40760182813,4882.81,436112839319
connected_component-8-plsync-random,connected_component,8,random,2.88686,50.8818,1.01502236263,2831.94,257460504257
pagerank-16-plsyncec-metis,pagerank,16,metis,1.00016,63.67508,1.05074424658,19.7507,903755776
connected_component-64-plsync-grid,connected_component,64,grid,3.2017,31.9341,1.02881594376,3434.04,366400458739
sssp-64-plsync-ldg,sssp,64,ldg,1.86718,1146.27834,1.0,0,0
pagerank-64-plsyncec-random_ec,pagerank,64,random_ec,3.33982,37.17908,1.23304276064,38.2824,20559150133
pagerank-64-plsync-dbh,pagerank,64,dbh,2.65649,353.358,1.09430940368,38.8574,30018194305
connected_component-8-plsync-dbh,connected_component,8,dbh,2.32847,106.6533,1.01596402618,2523.58,178745907809
sssp-64-plsync-hybrid_ginger,sssp,64,hybrid_ginger,3.30308,82.3393,1.0,0,0
connected_component-32-plsync-hybrid_ginger,connected_component,32,hybrid_ginger,3.2012,75.9434,1.02291894719,3130.29,312447418444
sssp-128-plsync-hybrid_ginger,sssp,128,hybrid_ginger,3.35578,116.6781,1.0,0,0
connected_component-128-plsync-fennel,connected_component,128,fennel,1.87721,2850.05486,1.10097979472,7427.79,692023542528
pagerank-64-plsync-ginger,pagerank,64,ginger,3.2017,35.63761,1.31658728042,30.7568,32812602999
sssp-32-plsync-random_ec,sssp,32,random_ec,3.27006,31.65377,1.03655862194,1321.76,13222427085
pagerank-32-plsync-grid,pagerank,32,grid,0,0,1.0,0,0
pagerank-64-plsync-hybrid_ginger,pagerank,64,hybrid_ginger,3.30308,75.6657,1.05913135065,30.3869,31099629901
